Active rs,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,12.774193548387096,7.636363636363637,82.64516129032258,158.09677419354838,119.56,122.84
2,13.96551724137931,2.071428571428572,92.75862068965516,120.6896551724138,115.48275862068964,155.75862068965515
3,19.580645161290324,80.87096774193549,115.06451612903226,12.0,114.03225806451611,140.25806451612902
4,17.7,73.26666666666667,138.46666666666667,5.1,118.1,134.66666666666666
5,19.032258064516128,82.96774193548387,131.61290322580646,37.516129032258064,110.19354838709675,104.74193548387096
6,20.33333333333333,82.26666666666667,136.23333333333332,44.6,99.7,107.0
7,20.61290322580645,95.90322580645162,144.7741935483871,57.354838709677416,64.93548387096774,97.0
8,21.677419354838708,100.6774193548387,140.25806451612902,59.096774193548384,85.58064516129032,71.83870967741936
9,22.066666666666663,100.36666666666666,147.33333333333334,62.3,74.86666666666666,81.1
