Aop,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,8228.39445114596,8046.282167042889,7900.365174038049,8436.594667403468,7806.712917685411,8517.80799836768
2,9682.104166666666,6820.020689655173,8054.538810963445,8139.023358379614,8831.361223780275,9086.964350728156
3,8950.305515239477,8188.446527820191,8243.283642224013,9927.492730210017,8894.10478504278,9227.041693290736
4,8455.001689189188,8192.284147333576,8345.155795651595,9888.475578406167,8417.48579671549,9159.064907651717
5,8415.030144927536,8314.36238809105,8342.420512118308,9592.173425827108,8404.577307980986,8504.654472404314
6,8219.770010131711,8404.64551127101,8211.580621210247,9871.066344993968,8516.924059517125,9100.71876430206
7,8208.427223050172,8043.356256490136,8323.070688140557,9070.768052516412,8720.684845775591,9469.157790438445
8,8031.98320537428,8158.652446675031,8054.933585313176,9182.132315521629,9278.752141144229,9189.021479713603
9,8143.687698592828,8171.298691636736,8041.063090154566,9125.064784053156,9247.780240779668,9179.457469842251
