Asp,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,6061.831121833535,6286.659142212189,5908.967455802288,6919.808247565104,6145.979115729421,7170.319322587227
2,6640.679398148148,5594.213793103448,6056.379638439581,6540.44127736034,7172.210569011473,7714.023058252427
3,6414.150943396226,6127.250351187931,6532.624716138012,8743.780290791598,7160.410795394528,7928.41341853035
4,6102.070945945946,5774.717115044744,6433.453848205949,6832.714652956298,6965.220705725699,7792.598240985048
5,6024.179130434784,5787.917141431909,6349.964672052581,7863.688900747065,6813.598448836628,7405.457602030027
6,5976.77811550152,5810.293046264545,6268.013117188467,7583.01125854443,6923.221083660865,7851.600228832952
7,5968.6035767511175,5671.357969885774,6239.872503660322,6963.648327602376,6938.948815377737,8087.586821897448
8,5869.723128598848,5758.189066843802,6124.916306695464,7069.87475261521,7174.219081877355,7973.013978861233
9,5972.608715388107,5712.063545407901,6137.895350935226,6902.888704318937,7045.316453277279,7927.6105784101455
