B2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0485432552171941,0.0115379338999013,0.0322663112904605,0.0159711446319264,0.0129918437121292,0.0100671021167003
2,0.0955762935101964,0.0127686941995322,0.0240930007072613,0.0172616103031962,0.0164299008359152,0.0287170043092075
3,0.1211074274734684,0.0273092670227184,0.0211586224412332,0.0230984986781376,0.0194047920623739,0.0191483634166631
4,0.1524267680193296,0.0483869223005048,0.0241223203901857,0.0590960836496069,0.013176460842521,0.0054130761621381
5,0.1506700192140674,0.0507783569383161,0.0236481849060324,0.0292296842637793,0.0130080152929044,0.0009507313684487
6,0.1271143299576859,0.0437646514631014,0.0229983798584711,0.0482105385961057,0.0022134480168601,0.0024377333738897
7,0.1346517615691142,0.0437069534012938,0.0251582308230198,0.0571759614330539,1.0252113832e-05,1.04638110403e-05
8,0.1121445674272595,0.0432396109547265,0.0227623071187748,0.0542512867949646,0.0019060592469672,0.0001969842011917
9,0.1020163045223154,0.041137470924139,0.0200089595448442,0.0516156774808922,0.0012941784863686,2.75632602093e-05
