B2c per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,399.4330518697225,92.83747178329573,254.9156420138252,134.7420736340402,101.42359413202932,85.74964293001428
2,925.3796296296296,87.08275862068965,194.058009269206,140.49264946096048,145.09838915285664,260.9503944174757
3,1083.9484760522496,223.62047272949368,174.41652626181232,229.31017770597737,172.5882539347206,176.68274760383386
4,1288.768581081081,396.39941650068727,201.30452180872348,584.370179948586,110.91267199289835,49.57871591908531
5,1267.8927536231884,422.1896610569981,197.2831028344516,280.3762006403415,109.32687015261446,8.0856417847325
6,1044.8505572441743,367.826381471696,188.85305036505383,475.88942501005226,18.85176866928692,22.18512585812357
7,1105.2791852955788,351.55059709241954,209.39373352855048,518.629884338856,0.0894054537326776,0.0990834778300718
8,900.7432821497122,352.776957709056,183.3488720902328,498.1424936386768,17.685851318944845,1.8100920559154448
9,830.7889241942805,336.1465623396614,160.89330606844288,470.99640088593577,11.96827823428244,0.2530157748221466
