B2c total burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,331130.0,41127.0,8334212.0,1950661.0,995574.0,420259.0
2,799528.0,12627.0,6322604.0,1720192.0,1252054.0,1720185.0
3,1493681.0,7322676.0,2380960.0,141943.0,1633893.0,1106034.0
4,1525902.0,14130450.0,3018360.0,227320.0,999545.0,281855.0
5,2187115.0,16080782.0,2881517.0,525425.0,873959.0,38237.0
6,2062535.0,13086527.0,3052243.0,1183537.0,134300.0,96949.0
7,2224927.0,13541729.0,3575398.0,1659097.0,400.0,400.0
8,1877149.0,14339325.0,3056059.0,1761930.0,103250.0,5309.0
9,1830228.0,13102993.0,2675173.0,1701239.0,62630.0,818.0
