Exposure per eff online,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,192.2842842842843,443.1047619047619,1004.1143191572376,292.57291289114414,415.44835164835166,202.22707227072272
2,168.8119266055046,277.2647058823529,990.8892171344164,357.0067852129153,376.5409540954095,172.59996363856737
3,213.8181818181818,967.3261296660118,390.4715656447461,239.24929178470256,399.8315420048256,251.5140433553252
4,192.96789727126807,899.3996375169914,322.143314011593,212.1818181818182,328.4150238638722,203.08897068155852
5,248.90636363636364,935.217324645458,346.4517499494234,142.8881497905888,321.4359404487314,205.15307219662057
6,298.5422177009156,932.5865766481336,374.74394673123487,185.64443885254155,334.3729459395094,248.99362594803932
7,263.7192513368984,779.6429715017612,351.6198830409357,194.26361888485368,297.15942524803285,250.50033338889816
8,243.17579250720465,791.9656818860042,370.7886608015641,191.548903508772,258.7465553235908,222.3383064101245
9,291.26886035313004,788.8686837180287,361.27450236966826,197.35915985997667,306.2744199369808,206.58633163863905
