Gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,6821339.0,3564503.0,258294539.0,122136581.0,76630694.0,41745777.0
2,8365338.0,988903.0,262424929.0,99654202.0,76205816.0,59901269.0
3,12333521.0,268138870.0,112529065.0,6145118.0,84200490.0,57761281.0
4,10010722.0,292030353.0,125127266.0,3846617.0,75858382.0,52069284.0
5,14515927.0,316685749.0,121849394.0,17975733.0,67186191.0,40218511.0
6,16225826.0,299020478.0,132715566.0,24549342.0,60674567.0,39770141.0
7,16523564.0,309830083.0,142116432.0,29017387.0,39016344.0,38226990.0
8,16738653.0,331624746.0,134259633.0,32477202.0,54169355.0,26951400.0
9,17940544.0,318517223.0,133698756.0,32959734.0,48393634.0,29677186.0
