Orders per eff online,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.8298298298298298,4.219047619047619,12.756145142411237,1.749063670411985,2.696703296703297,0.4410944109441094
2,0.7926605504587156,1.4215686274509804,12.03138847858198,2.8647636874122604,1.941719171917192,0.3994909399430337
3,1.0184774575018478,12.866797642436149,3.1947109758951555,0.876770538243626,2.0765518754112744,0.393339616713792
4,0.9502407704654896,16.151789759855006,2.9970017989206474,1.4734848484848484,1.8700975306080097,0.3607691331387231
5,1.568181818181818,14.599080107320813,2.954885696945175,0.461690071446169,1.6762423988257495,0.36321044546851
6,2.008138351983724,14.129467831612391,3.2610976594027443,0.6258178158027177,1.696594427244582,0.352589962885267
7,1.7941176470588236,12.3342939481268,3.2210903603093755,0.6834009826960051,1.5306192268217584,0.3364727454575762
8,1.5014409221902016,12.12981199641898,3.258651026392962,0.7756578947368421,1.2187891440501044,0.3017800185204239
9,1.7680577849117174,12.15845290081098,3.152037914691943,0.8429404900816803,1.498997421942137,0.3160930778255768
