P2c burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,415.6489746682751,382.5304740406321,342.1389245733162,369.5492850728742,408.0473716381418,485.21750663129967
2,508.9548611111112,356.2758620689655,360.8691875633037,378.8622182293368,438.76775987947616,458.0226031553398
3,399.6342525399129,343.8444084773713,356.7493956486704,493.9822294022617,404.47332840392943,443.5182108626199
4,445.6047297297297,348.0455017252504,359.609377084167,479.5089974293059,392.1621171770972,468.4397537379068
5,504.7918840579711,393.7358554963376,400.049500205395,509.2113127001067,449.3652739554665,467.51744554874176
6,555.4797365754813,433.01349148350096,457.9719712906818,489.3409730599115,494.0878719820325,580.9183066361556
7,447.4778936910085,345.2582294911734,370.6069692532943,429.0296967802439,426.181940098346,506.0230369085954
8,409.4836852207293,331.64049007306807,356.6564674826014,368.0981057393272,413.0931825967797,447.6614387998636
9,384.0490240581025,390.9737301180092,392.4377217778312,462.27851605758576,437.7905599082744,512.0405196412
