P2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0505139826652802,0.047541270129384,0.0433067227952504,0.0438031338047689,0.0522687814885246,0.0569650673887325
2,0.0525665549915616,0.0522397039952351,0.0448032092255991,0.0465488550096462,0.0496829139655167,0.0504043578776269
3,0.0446503476176835,0.0419914091530258,0.0432775834403316,0.0497590119506248,0.0454765643287824,0.0480672165148137
4,0.0527030917450309,0.0424845495426977,0.0430919908375525,0.0484917006294102,0.0465889847215565,0.0511449322022557
5,0.0599869371070824,0.0473561094787375,0.0479536484194578,0.0530861244990677,0.0534667309834546,0.0549719506025471
6,0.0675785010883267,0.0515207323024879,0.0557714759698948,0.0495732635115026,0.0580124782761119,0.063832134766633
7,0.0545144497881933,0.0429246471847602,0.0445276729154022,0.0472980561619831,0.0488702375599312,0.0534390753758012
8,0.0509816411153274,0.0406489297393988,0.0442780146732562,0.0400885211724827,0.0445203381136806,0.048716986872667
9,0.0471591050973705,0.0478471960054731,0.0488042087691526,0.0506602996249909,0.047340069563695,0.0557811310007626
