R burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1120378.0,568925.0,45586655.0,14657891.0,11300796.0,3805732.0
2,1388526.0,113455.0,47021941.0,13214058.0,9278630.0,4310959.0
3,1450444.0,48913725.0,16101259.0,285000.0,10949839.0,4246955.0
4,732372.0,59641784.0,20253716.0,774842.0,8554103.0,4823428.0
5,1066337.0,65151986.0,20377170.0,1759493.0,8252100.0,2948975.0
6,1268614.0,63809591.0,20957952.0,3289865.0,7699358.0,2823086.0
7,1383065.0,64528298.0,25667097.0,3709113.0,6064349.0,3534187.0
8,1775637.0,69752119.0,23168719.0,4407162.0,9771376.0,2248250.0
9,2106599.0,67517837.0,22443735.0,4655511.0,9171905.0,2390976.0
