R burn gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.1642460519848082,0.1596085064313313,0.1764909749021058,0.1200122918128844,0.1474708815765129,0.0911644787447602
2,0.1659856421820612,0.1147281381490398,0.1791824472590406,0.1325991050532921,0.1217575047027906,0.0719677407835884
3,0.1176017781134843,0.182419374706845,0.1430853353309209,0.0463782794732338,0.1300448370312334,0.0735259836082928
4,0.0731587591784089,0.2042314553514921,0.1618649287837872,0.2014346632378528,0.1127641108928476,0.0926348055794275
5,0.0734597935081927,0.2057307163512432,0.1672324279265598,0.0978815717834705,0.1228243464494065,0.073323823450351
6,0.078184864055611,0.2133953882583252,0.1579163065167502,0.1340103127814993,0.1268959694430122,0.0709850638950462
7,0.0837025837767203,0.2082699567943504,0.1806061173840896,0.1278238112894176,0.15543099066381,0.0924526623728418
8,0.1060800412076168,0.210334481492524,0.1725665301051433,0.1357001751567145,0.1803856811660393,0.0834186721283495
9,0.1174211328262955,0.211975466708122,0.1678679418677612,0.1412484396870435,0.1895270977170261,0.0805661291471502
