R burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1351.481302774427,1284.255079006772,1394.3431516486205,1012.4950611314498,1151.262836185819,776.5215262191389
2,1607.0902777777776,782.448275862069,1443.231975691354,1079.227213328977,1075.28450573647,653.9682949029126
3,1052.5718432510885,1493.7312954253955,1179.4930041755183,460.4200323101777,1156.6324073096016,678.4273162939297
4,618.5574324324324,1673.1221140628943,1350.7880485527544,1991.88174807198,949.190301819796,848.4481970096746
5,618.1663768115942,1710.519730105805,1395.1232370258797,938.8970117395944,1032.2867150362772,623.593783040812
6,642.6616008105369,1793.5125920512676,1296.7424823660438,1322.8246883795737,1080.763335204941,646.0151029748284
7,687.0665673124689,1675.1894600207684,1503.1974816983893,1159.460143794936,1355.4646848457755,875.4488481545702
8,852.0331094049905,1716.0459320491057,1390.0119390448765,1246.016963528414,1673.7540253511477,766.5359699965906
9,956.2410349523376,1732.1148537711647,1349.836711373068,1288.9011627906975,1752.7049493598315,739.5533560160842
