Realpay price,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,5025258.0,2784990.0,193187782.0,100178064.0,60328931.0,35141735.0
2,5737547.0,811161.0,197322905.0,80081163.0,61889005.0,50850840.0
3,8838700.0,200642940.0,89176860.0,5412400.0,67787609.0,49631868.0
4,7224852.0,205851341.0,96463207.0,2657926.0,62770569.0,44300921.0
5,10391709.0,220455976.0,92747584.0,14736553.0,54467906.0,35020409.0
6,11798160.0,206718606.0,101303628.0,18858949.0,49321027.0,34311493.0
7,12014799.0,218460709.0,106545823.0,22276711.0,31044857.0,32649588.0
8,12232503.0,234053111.0,102090105.0,25006147.0,41883091.0,23384850.0
9,13157657.0,222656237.0,102054786.0,24933234.0,36868141.0,25629965.0
