Ted gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.2633032898672826,0.2186877104606168,0.2520640089878168,0.1797865702495798,0.2127315067771668,0.158196648250193
2,0.3141284906838193,0.1797365363438072,0.2480786571919011,0.1964095703661346,0.1878703195042226,0.1510891029704228
3,0.2833595532046363,0.2517200508825893,0.2075215412124858,0.1192357901019964,0.1949261934223898,0.1407415635397698
4,0.2782886189427695,0.2951029271946947,0.2290792400115255,0.30902244751687,0.1725295564569252,0.1491928139438214
5,0.2841167498293426,0.3038651827682969,0.2388342612520502,0.1801973805463176,0.1892990927257656,0.1292465054213469
6,0.2728776951016237,0.3086807720239146,0.2366861623451163,0.2317941148891078,0.1871218957359844,0.137254932035569
7,0.2728687951340279,0.2949015573804045,0.2502920211225117,0.2322978288844546,0.2043114803375734,0.1459022015596833
8,0.2692062497502039,0.2942230221866494,0.2396068518971744,0.2300399831241619,0.2268120785266872,0.1323326432022084
9,0.2665965424459815,0.3009601336377342,0.2366811101817581,0.2435244167929267,0.2381613457670899,0.1363748234081223
