Ted per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,2166.5633293124247,1759.6230248306997,1991.3977182357617,1516.7864198383645,1660.7338019559902,1347.4886757804527
2,3041.4247685185182,1225.806896551724,1998.159172523864,1598.5820810192747,1659.1506547688027,1372.941292475728
3,2536.1545718432512,2061.19617663226,1710.658926086001,1183.7124394184168,1733.6939896482518,1298.6282747603832
4,2352.930743243244,2417.567032288832,1911.7019474456447,3055.760925449872,1452.2650909897911,1366.4666666666667
5,2390.8510144927536,2526.4452466591406,1992.4558400657263,1728.4845250800429,1590.9788591443582,1099.1968703742864
6,2242.9918946301923,2594.3524650064646,1943.5675040217795,2288.055086449537,1593.7029758562603,1249.1185354691077
7,2239.823646299056,2371.998286604361,2083.1981844802344,2107.119724914036,1781.7360303978542,1381.5709685409956
8,2162.260076775432,2400.4633798312298,1930.0172786177104,2112.2575629064177,2104.533059266872,1216.0075008523695
9,2171.0789832047208,2459.235146228836,1903.167739219342,2222.176079734219,2202.4637875023886,1251.8468914321063
