Total p2c burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,344573.0,169461.0,11185890.0,5349965.0,4005393.0,2378051.0
2,439737.0,51660.0,11757479.0,4638789.0,3786127.0,3019285.0
3,550696.0,11259529.0,4869986.0,305775.0,3829149.0,2776424.0
4,527596.0,12406778.0,5391983.0,186529.0,3534165.0,2663080.0
5,870766.0,14997005.0,5843123.0,954262.0,3592226.0,2210890.0
6,1096517.0,15405754.0,7401743.0,1216991.0,3519882.0,2538613.0
7,900773.0,13299347.0,6328114.0,1372466.0,1906738.0,2042815.0
8,853364.0,13480191.0,5944750.0,1301963.0,2411638.0,1312991.0
9,846060.0,15240156.0,6525062.0,1669750.0,2290958.0,1655427.0
