Tri gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.2119016515672362,0.2131435995424888,0.2097225950255185,0.2272818411381599,0.2176915688640376,0.2340977148419108
2,0.2069526658695679,0.2068736771958422,0.2016963830444629,0.2163517500245498,0.2210551882286779,0.2351346847092671
3,0.2209665836706322,0.1987883144282662,0.2139414914715589,0.237802593863942,0.218704998035047,0.2351095710637026
4,0.2311532574773328,0.1887600122169492,0.2082595091624554,0.191556112812895,0.2235212056065208,0.2289349897724731
5,0.2347727430704218,0.1885326611271036,0.2054954167437221,0.2243443424532395,0.2191192681246061,0.2325007258473591
6,0.2319199651222686,0.1850843339231101,0.2079208025982423,0.215933282448059,0.2171173302316273,0.2321760438314764
7,0.2322920164197021,0.1893773110469715,0.2049604439830012,0.2231995940916389,0.2116499690488683,0.2284193707116359
8,0.2285591917103484,0.1894932472861961,0.2064191252481674,0.2217316627214376,0.2062544034353002,0.2299310239913325
9,0.2229586237741731,0.1867181606063418,0.2059349826710429,0.2172409219079255,0.2016102779138264,0.2300237967305929
