Tri per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1743.6103739445114,1715.0135440180586,1656.885085948492,1917.4847689438416,1699.4555827220863,1993.9993878800244
2,2003.7372685185185,1410.8827586206896,1624.5713452625764,1760.8919470761189,1952.2182176381968,2136.6604975728155
3,1977.718432510885,1627.767483051365,1763.5803970405098,2360.7835218093696,1945.185169536284,2169.365814696486
4,1954.4011824324325,1546.3756557354056,1737.9580498866212,1894.19794344473,1881.486573457612,2096.830430958664
5,1975.619710144928,1567.528866601906,1714.3291797891277,2151.949839914621,1841.604828621466,1977.3383379149925
6,1906.3287740628168,1555.568216313452,1707.3584333622075,2131.491757137113,1849.171813587872,2112.9688787185355
7,1906.7521112767013,1523.2291796469367,1705.9002635431918,2024.5917474210687,1845.7326776933392,2162.9390636611342
8,1835.78358925144,1546.0095455999212,1662.692344612431,2035.9694656488548,1913.7834874957173,2112.841118308899
9,1815.7054017249204,1525.7298614674191,1655.936188127744,1982.337486157253,1864.4475444295813,2111.4936591401174
