Active rs,Priority 5
month,Priority
1,122.84
2,155.75862068965515
3,140.25806451612902
4,134.66666666666666
5,104.74193548387096
6,107.0
7,97.0
8,71.83870967741936
9,81.1

Aop,Priority 5
month,Priority
1,8517.80799836768
2,9086.964350728156
3,9227.041693290736
4,9159.064907651717
5,8504.654472404314
6,9100.71876430206
7,9469.157790438445
8,9189.021479713603
9,9179.457469842251

Asp,Priority 5
month,Priority
1,7170.319322587227
2,7714.023058252427
3,7928.41341853035
4,7792.598240985048
5,7405.457602030027
6,7851.600228832952
7,8087.586821897448
8,7973.013978861233
9,7927.6105784101455

B2c gmv,Priority 5
month,Priority
1,0.0100671021167003
2,0.0287170043092075
3,0.0191483634166631
4,0.0054130761621381
5,0.0009507313684487
6,0.0024377333738897
7,1.04638110403e-05
8,0.0001969842011917
9,2.75632602093e-05

B2c per order,Priority 5
month,Priority
1,85.74964293001428
2,260.9503944174757
3,176.68274760383386
4,49.57871591908531
5,8.0856417847325
6,22.18512585812357
7,0.0990834778300718
8,1.8100920559154448
9,0.2530157748221466

B2c total burn,Priority 5
month,Priority
1,420259.0
2,1720185.0
3,1106034.0
4,281855.0
5,38237.0
6,96949.0
7,400.0
8,5309.0
9,818.0

Bad rating rate,Priority 5
month,Priority
1,0.0299938788002448
2,0.0323118932038834
3,0.0314696485623003
4,0.0313104661389621
5,0.024318037640093
6,0.0283752860411899
7,0.0287342085707208
8,0.0235254006137061
9,0.0266006804825239

B cancel order cnt,Priority 5
month,Priority
1,478
2,528
3,588
4,503
5,416
6,428
7,371
8,306
9,293

B cancel rate,Priority 5
month,Priority
1,0.085509838998211
2,0.0716417910447761
3,0.0828986324545326
4,0.078778386844166
5,0.0779464118418587
6,0.0850894632206759
7,0.0809160305343511
8,0.0914524805738194
9,0.0794899620184481

B p1,Priority 5
month,Priority
1,0.0480501302880132
2,0.0450185248125749
3,0.0360398576412882
4,0.0385741729775806
5,0.0384587882189051
6,0.0366646176459246
7,0.0356173326062226
8,0.0359825924866699
9,0.0375084300970437

B p1p2,Priority 5
month,Priority
1,0.0027441704180565
2,0.0028461359122943
3,0.0019378712046379
4,0.0021835616678061
5,0.0021702726187369
6,0.0017741257610513
7,0.0016489752297701
8,0.0017025266254061
9,0.0018438544888344

B p2,Priority 5
month,Priority
1,0.0571105718466924
2,0.0632214388219879
3,0.0537702236209119
4,0.0566068304063249
5,0.0564311232684688
6,0.048387952062785
7,0.0462969882669456
8,0.0473152851906629
9,0.0491584020995785

Click pay user cnt app,Priority 5
month,Priority
1,6166
2,8106
3,7757
4,6988
5,5797
6,5475
7,4956
8,3679
9,3896

Complete orders,Priority 5
month,Priority
1,4901
2,6592
3,6260
4,5685
5,4729
6,4370
7,4037
8,2933
9,3233

Daily online hours,Priority 5
month,Priority
1,3719.333022222223
2,4853.370555555548
3,4360.478181003558
4,4467.568481481463
5,3607.971738351262
6,3537.0346018518435
7,3313.806191756264
8,2666.102356630829
9,2909.448648148168

Daily orders,Priority 5
month,Priority
1,196.04
2,227.31034482758625
3,201.9354838709677
4,189.5
5,152.5483870967742
6,145.66666666666666
7,130.2258064516129
8,94.61290322580643
9,107.76666666666668

Eff online rs,Priority 5
month,Priority
1,444
2,569
3,513
4,525
5,420
6,413
7,387
8,313
9,340

Exposure per eff online,Priority 5
month,Priority
1,202.22707227072272
2,172.59996363856737
3,251.5140433553252
4,203.08897068155852
5,205.15307219662057
6,248.99362594803932
7,250.50033338889816
8,222.3383064101245
9,206.58633163863905

Exposure uv,Priority 5
month,Priority
1,2246945
2,2848072
3,4002846
4,3200276
