Active rs,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,501.741935483871,69.09677419354838,4622.774193548387,3416.6451612903224,5785.04,2896.32
2,552.7241379310345,57.44827586206897,4927.586206896552,2284.206896551724,6335.689655172414,3479.862068965517
3,669.0645161290323,3288.2580645161293,3038.709677419354,440.2903225806452,6829.387096774193,3104.774193548388
4,760.2,3420.3,3439.4,311.56666666666666,6825.3,2738.0666666666666
5,848.3548387096774,3269.4193548387098,3593.548387096774,670.9032258064516,6476.741935483871,2998.548387096774
6,994.5,3391.633333333333,4086.233333333333,771.2333333333333,5938.333333333333,2809.7
7,1169.645161290323,3875.741935483871,4245.5161290322585,902.3870967741937,5810.548387096775,2188.4193548387098
8,1342.3870967741937,4065.3548387096776,4289.354838709677,889.6129032258065,6028.032258064516,1913.8064516129032
9,1466.8,4050.2,4823.733333333334,889.5666666666667,5440.666666666667,1694.3
