Aop,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,256.0742038702484,258.0412591081317,242.17797393816187,260.26559357860424,236.9388976905472,237.06100698895528
2,249.47377611986505,269.50583778966126,243.80424761883984,228.8464215000405,256.4214102820768,252.46061389460425
3,248.91445839980227,246.08626231769685,241.50834235558108,294.13654812243607,259.99383937789554,258.93311318841165
4,247.73890006109104,246.21790542816555,239.9516461067263,288.95017561720533,255.4146049383941,249.2566932209988
5,250.125476220572,248.0169162782911,242.20538860327676,285.26751160762683,260.46736816171455,244.5020617619448
6,244.15529531568228,248.66109878935987,243.90476895072425,281.8481319506038,260.310609076372,243.1723089316791
7,238.51257738033763,246.69687837080767,242.7881986724292,277.5034311034688,258.6423083038416,252.82311571052648
8,239.54372887908733,250.30662977479471,246.34362142596285,283.32134328358205,262.0268850006929,252.4831875811633
9,242.0029719686894,250.60627028641755,248.78465313115103,280.88121011839667,263.08891359045083,256.9918223511983
