Asp,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,187.93329191179703,202.32372194695424,182.98981097307,216.25389961840972,192.7125807634799,199.2261326090893
2,181.87507661827075,199.2420435446906,188.9745780505573,191.91752963110463,214.48684525647508,215.8084022345156
3,184.2639524119801,184.7867437807904,197.664698582632,250.30724487219945,215.99474325955683,224.3402274663437
4,178.80336721715355,179.19147597015217,187.98598619877964,239.6347630440316,214.62250388802488,217.2336390557224
5,177.68142731869173,183.2785545295812,193.64428129975585,238.14254825708832,217.1768818792372,214.72052428479668
6,173.5315943734628,183.42381567122692,192.76176589918424,220.47807549293847,220.5275209859644,214.9629851232246
7,176.85315456627524,183.6215051539617,189.7320430276361,216.15943702258525,221.8766704813561,222.1533573676036
8,179.77710185412073,184.5146767001748,190.90187708964183,216.1617433532972,223.00908804034603,219.77689426560045
9,179.525982567997,184.791591316704,192.30592831092224,214.14570538728543,224.45341707431928,221.6481976378432
