B2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.1259741312606347,0.0110026635806642,0.033409169844027,0.0306026168189636,0.0242774617243676,0.0316573186715126
2,0.1410163218845742,0.0457917147732186,0.0250746081791872,0.0228072840204906,0.0291150695592473,0.0341473191050653
3,0.1187371894144117,0.0328734087851568,0.0323477147564618,0.0298132484349061,0.0231774458126074,0.02162799468301
4,0.1277580882861405,0.0479987165182492,0.0461526754144006,0.0359148472678108,0.008384270192104,0.0025027903241285
5,0.136290846341335,0.0381445131060996,0.0281981263324576,0.0342122251448797,0.0080553094086681,0.0038270498433018
6,0.1339882249420916,0.0356987880379075,0.0309573575676236,0.0469041631122922,0.0024068261908405,0.0020777828326051
7,0.1189846412398161,0.0342371391728563,0.0304468874959236,0.0532723008011102,0.0008896636015154,0.0005714659004952
8,0.1031834405957119,0.0365718369290857,0.0296226797018344,0.0582729496469646,0.0030752029068289,0.0038359565653521
9,0.107367252548958,0.0326509374287632,0.0275174513864075,0.0555206160655737,0.0010372246918391,0.004193902192771
