B2c per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,32.25872537081322,2.8391411638977946,8.090965063782406,7.964808231446149,5.752275019696128,7.504715842839037
2,35.17987431507909,12.341134453781512,6.113295981463951,5.219365332224333,7.465727196842966,8.620853144119737
3,29.555403195003034,8.089694297580982,7.812242969824264,8.769165982959922,6.02599312379295,5.6002039952942
4,31.65064826591621,11.818143444363622,11.07441043791486,10.377601425299058,2.1414650588130217,0.6238372400177955
5,34.08981284563122,9.460484513511696,6.829738146237204,9.759636333639728,2.09814524140409,0.9357215771530212
6,32.71393462956046,8.876899858954548,7.550647144856201,13.219850753905984,0.6265223916786623,0.5052592488631898
7,28.379333450783367,8.44619535829055,7.392144970317421,14.783246255084157,0.2301046475098733,0.1444797894855432
8,24.71694611887065,9.15417324639284,7.297358194091258,16.509970371074566,0.8057858384214575,0.9685145410429908
9,25.98319420896068,8.182529650377557,6.84591959822072,15.59469782701726,0.2728823173251578,1.077798567282911
