B p2,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0915108671483812,0.1060437809600139,0.1621442253154434,0.0953611295369013,0.1136114077561119,0.062484429216702
2,0.1170064631390888,0.1173338178565438,0.207749397868512,0.1624221045221588,0.1198618645877336,0.069770909710451
3,0.1226558495501705,0.2248760416401389,0.1800526902733053,0.0907648365598222,0.1262522641921103,0.0631421401133531
4,0.128804884779744,0.2273099448959437,0.178778198060916,0.0886614474557364,0.1274787996956945,0.066337889848215
5,0.1203665691207534,0.2214135077643422,0.1672694068974191,0.084381125400392,0.1244673870655013,0.0730639181027446
6,0.1139255861222696,0.2205567878798259,0.1627366328497453,0.0893050088888581,0.1195539040673196,0.0668653231811612
7,0.1122849901210407,0.2244241956536833,0.1696513518594005,0.0917446601021251,0.1232610601363325,0.0602545829048956
8,0.1107223730311104,0.2261948320350807,0.1683699243017787,0.0984816425299141,0.124362395952592,0.0662686263898359
9,0.1094837222513993,0.2210353674377594,0.163226933281927,0.1016531827425277,0.1226089417519368,0.066001807087646
