Click pay user cnt app,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,73670,10982,1953070,391894,588099,163276
2,71256,8395,1842942,312639,648355,216634
3,97153,1704235,574293,35178,872023,203219
4,107816,1720952,634944,21778,766786,168466
5,137215,1792589,702159,47655,829519,234990
6,154025,1725530,754117,64551,714457,207697
7,179243,1864981,824890,67736,683497,147494
8,199251,1941157,794916,69349,682053,135676
9,214303,1823977,842495,69483,567091,114831
