Complete orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,68161,10293,1851059,359548,534369,138075
2,64606,7854,1741903,283739,589414,184201
3,89014,1619418,529432,31690,801023,172553
4,99851,1638712,589658,19645,705371,143856
5,126580,1696382,647537,42429,756988,202390
6,141899,1633516,696042,58628,651626,178130
7,164609,1765341,764253,60482,623904,124267
8,183645,1850001,742053,63114,627769,117048
9,196994,1734042,783913,63093,520255,98554
