Daily online hours,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,6062.451657706109,807.9504480286737,36111.71315412181,38525.3619534052,47223.70366666687,53131.80093333331
2,6961.306570881212,751.8383333333333,38767.8792145594,17259.31600574715,57309.73395593856,67793.64823754758
3,8192.263503584247,26476.81074372765,22235.25345878128,7257.573682795677,59891.97964157718,60341.95568996399
4,8692.251055555573,27613.316759259284,26138.56129629626,5598.212027777782,62244.2192870369,56963.18483333344
5,8797.66991935483,26240.97435483877,27169.2514784948,12442.148369175622,56413.35771505384,55286.17531361996
6,9818.907379629612,27201.42583333328,31946.79417592606,12959.81787962967,52053.42063888887,52039.81936111102
7,11802.445761648798,31427.293485662954,33559.99053763438,14518.569112903248,52346.94341397858,45388.89974910403
8,14100.067867383528,33054.93650537621,33999.10196236571,14020.415770609348,56871.96465053761,41733.87338709692
9,15537.85724074074,32965.67756481483,39419.78059259253,13691.288407407446,52893.27406481488,38499.54816666662
