Daily orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,2198.7419354838707,332.03225806451616,59711.58064516129,11598.32258064516,21374.76,5523.0
2,2227.793103448276,270.82758620689657,60065.62068965517,9784.103448275862,20324.62068965517,6351.758620689655
3,2871.4193548387098,52239.29032258064,17078.451612903227,1022.258064516129,25839.451612903227,5566.225806451613
4,3328.366666666667,54623.73333333333,19655.266666666663,654.8333333333334,23512.366666666665,4795.2
5,4083.2258064516127,54722.0,20888.290322580644,1368.6774193548388,24418.967741935485,6528.709677419355
6,4729.966666666666,54450.53333333333,23201.4,1954.2666666666669,21720.866666666665,5937.666666666667
7,5309.967741935484,56946.48387096774,24653.322580645163,1951.032258064516,20125.93548387097,4008.6129032258063
8,5924.032258064516,59677.45161290323,23937.1935483871,2035.935483870968,20250.612903225807,3775.741935483871
9,6566.466666666666,57801.4,26130.43333333333,2103.1,17341.833333333332,3285.133333333333
