Exposure uv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,9380823,1240361,126712466,57973724,72073142,75813863
2,9522003,998157,124721840,29394315,91341378,92610856
3,12114406,97319699,42961843,7628106,114335165,108690716
4,11957506,95371073,47946693,4855111,99944487,87384115
5,16209473,101146820,56578754,10787715,105132299,106307723
6,18926991,97452913,61970219,12812487,93053936,107603516
7,22042013,102408975,65891342,13712623,87333777,88910149
8,24740096,106085264,64030034,12747876,87162788,72208687
9,28267248,102360892,72927898,13115026,77838531,59768342
