Healthy stores,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,637.0322580645161,95.61290322580643,4231.387096774193,4406.903225806452,5487.68,5439.36
2,715.6206896551724,89.55172413793103,4536.758620689655,2243.3793103448274,6479.206896551724,7021.344827586207
3,873.1290322580645,3028.774193548388,2888.1612903225805,785.2258064516129,6755.774193548387,6265.419354838709
4,956.6,3169.7,3320.2,606.0333333333333,7066.766666666666,5930.933333333333
5,956.483870967742,3010.8387096774195,3464.870967741936,1369.2903225806451,6448.225806451613,5736.709677419355
6,1081.8,3136.5,4016.233333333333,1429.4666666666667,5956.333333333333,5410.566666666667
7,1273.645161290323,3621.3548387096776,4160.0,1595.451612903226,5985.83870967742,4705.709677419355
8,1432.741935483871,3814.032258064516,4227.193548387097,1544.8064516129032,6500.709677419355,4379.741935483871
9,1512.1333333333334,3774.9,4826.766666666666,1517.9333333333334,6052.1,4015.9
