Imperfect order rate,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0279632047651883,0.0222481297969493,0.0192651881976749,0.0229315696374336,0.0214252698041989,0.0255585732391816
2,0.0285886759743677,0.0282658517952635,0.019107263722492,0.0211779135050169,0.0209122959413926,0.0253364531137181
3,0.0270519244163839,0.0198231710404602,0.0212302996418803,0.025970337645945,0.021405128192324,0.0266700665882366
4,0.0270202601876796,0.0190320202695775,0.0202642887911297,0.0261135148892848,0.0198080159235352,0.024830385941497
5,0.0273028914520461,0.0197290468774132,0.020584151948074,0.0245586744915034,0.0211456456377115,0.0227629823607885
6,0.0250671252087752,0.018353049495689,0.0200519508880211,0.0226683495940506,0.0199654402985761,0.0225565598158648
7,0.0229270574512936,0.0170794197834865,0.0191782040763987,0.0240898118448464,0.0181646535364415,0.0226447890429478
8,0.0231424759726646,0.0163037749709324,0.0178006153199299,0.0226415692239439,0.0171528062073788,0.0204275169161369
9,0.0223509345462298,0.0159309866773699,0.0178846377085212,0.0224272106255844,0.0173818608182525,0.0215922235525701
