Imperfect orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1906.0,229.0,35661.0,8245.0,11449.0,3529.0
2,1847.0,222.0,33283.0,6009.0,12326.0,4667.0
3,2408.0,32102.0,11240.0,823.0,17146.0,4602.0
4,2698.0,31188.0,11949.0,513.0,13972.0,3572.0
5,3456.0,33468.0,13329.0,1042.0,16007.0,4607.0
6,3557.0,29980.0,13957.0,1329.0,13010.0,4018.0
7,3774.0,30151.0,14657.0,1457.0,11333.0,2814.0
8,4250.0,30162.0,13209.0,1429.0,10768.0,2391.0
9,4403.0,27625.0,14020.0,1415.0,9043.0,2128.0
