P2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0523539128552263,0.0466410349192273,0.0505809867822934,0.0496773329147288,0.0556608793004909,0.0561340469615763
2,0.0418323439557055,0.0368529278503647,0.0400730003104081,0.0409045312961552,0.0382091977280428,0.0394604317325074
3,0.039796513511411,0.0436758819681837,0.0391935729844735,0.0366103182257617,0.038994394377504,0.0399740978660085
4,0.0466893753509995,0.0475269659022245,0.0436263455943136,0.0395347111180622,0.0429293571674745,0.0443701075364414
5,0.0481802996650366,0.0441465957771633,0.0423373275208241,0.0398666448026757,0.0416633826568806,0.0435077192599339
6,0.0470970277439996,0.043882369850933,0.0429144310451923,0.0388959477782111,0.0425282825354336,0.0462698184873058
7,0.0407822732008032,0.0368928075188647,0.0369064028036465,0.0348633017562291,0.0369844061579954,0.0413041691334975
8,0.0456821186249837,0.0409407279498608,0.0421943997070489,0.0377740936662309,0.0400668314169488,0.043418695686647
9,0.0477936536710293,0.0436911709249767,0.043829355685793,0.0393677177312917,0.0416253827696036,0.0454970534589804
