Pay order cnt,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,71620,10687,1904767,379121,567045,155671
2,68725,8114,1795784,302250,623942,205884
3,94487,1667318,557203,33833,843693,194210
4,105080,1684032,617285,21080,741646,161070
5,134026,1752982,681955,46028,801244,225135
6,150600,1688328,733522,62817,690767,199473
7,175166,1825589,803448,65553,661114,141276
8,194925,1901536,775427,67265,660445,130536
9,209921,1790778,823950,67855,551694,110319
