R burn gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0877702622679321,0.1582812173595104,0.1604092906174039,0.0888230552199847,0.1067187142672142,0.0718083714153103
2,0.0881164854993746,0.1780687980248111,0.1597445749066612,0.097657943611087,0.0962133033105207,0.0715725559596264
3,0.1011961110972002,0.1725483953977413,0.1099996203093406,0.0825864884651319,0.1070594624577443,0.0719956744422454
4,0.1038113517000489,0.1766983434539093,0.1267881947245473,0.0952214317522528,0.108395724657344,0.0816013017745978
5,0.1051596824742737,0.1787328677073871,0.1299601155622365,0.0911168198278609,0.116484416554184,0.0744700830216693
6,0.1081720450141533,0.182773039996351,0.1358125208476208,0.1319414651594698,0.1078941909767425,0.0676578926131178
7,0.0987495272971212,0.1845497101948892,0.1511751088602253,0.1329211023524139,0.1042745139876417,0.0794335192208683
8,0.1006363889398198,0.1853328624827422,0.1532414953388443,0.1409968699759754,0.1057655747570373,0.0822838474354268
9,0.1030053009651696,0.1862797282606991,0.1556717172193884,0.1427050057610954,0.1041907737352851,0.0878372520164887
