R burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,22.47570003374364,40.843084620615954,38.847597002580684,23.11758519029448,25.285814521426204,17.022964837950386
2,21.982752375940315,47.99058059587471,38.94640589630996,22.34867092645001,24.671150922780928,18.06925141557321
3,25.18917518592581,42.46178969234626,26.56582596065217,24.291704638687285,27.83480068612262,18.642064119429968
4,25.7181100840252,43.50629601784816,30.42303603105529,27.5142494273352,27.68585119036649,20.339670642865087
5,26.303115658081843,44.32877468636192,31.477040292678257,25.992668457894364,30.340389411721187,18.208088838381343
6,26.410777595331886,45.44854495456426,33.125321517954376,37.18745548202224,28.086002568958268,16.45252596418346
7,23.553004270726387,45.52783740931639,36.7035323642825,36.88606196885024,26.96980099502488,20.082629821271937
8,24.106815867570585,46.39004419457071,37.75006491450072,39.947422600373926,27.713424093894407,20.775288086938687
9,24.92758896210037,46.682867929381175,38.72873417075619,40.08315470812927,27.41143746816465,22.57345546603892
