Shop enter uv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,805041,103561,12045264,4109578,5176408,2613067
2,608992,71548,8870986,1924855,5409185,3104933
3,792078,7578553,3189583,387573,6906989,3218437
4,837049,7570949,3551574,245631,6015008,2539514
5,1139976,8096114,4197773,564759,6664549,3216225
6,1351979,7823518,4633972,722815,5976024,3106199
7,1596322,8310071,4862266,738310,5545117,2447847
8,1799555,8581792,4721247,704182,5484399,2047364
9,1957396,8251969,5161495,683530,4625201,1739816
