Ted,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,4644552.7,573500.61,109560781.75,15824316.54,23633172.75,5224050.28
2,4367281.58,551851.84,95507965.91,10478166.85,24716819.71,6751374.04
3,5754800.14,99269543.71,23212228.01,1388950.62,35244287.97,5969106.21
4,6883281.89,109837014.27,30641967.09,968801.28,28773565.11,4606708.48
5,9169967.71,109820991.58,31445113.74,1999465.07,32770378.63,6027485.37
6,10021432.54,106566145.77,35597678.13,3598003.67,25923694.56,5024926.85
7,10149695.93,111349542.43,40548326.12,3710207.45,22938228.5,3811238.86
8,10975842.22,121715178.98,41140712.71,4238710.99,24494163.38,3828206.22
9,12307592.05,114125417.55,44274406.61,4210543.2,20100310.24,3483255.59
