Ted gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.2660983063837933,0.215924915859402,0.2443994472437244,0.1691030049536772,0.1866570552920728,0.1595997370483993
2,0.2709651513396543,0.2607134406483945,0.2248921833962566,0.1613697589277328,0.1635376896939749,0.1451799197295386
3,0.2597298140230229,0.2490976861510819,0.181540908050276,0.1490100551257997,0.1692313026478559,0.1335977669912639
4,0.278258815337189,0.2722240258743831,0.2165672157332616,0.1706709901381259,0.1597093520169227,0.1284741996351678
5,0.2896308284806454,0.2610239765906501,0.2004955694155184,0.1651956897754164,0.1662031086197328,0.121804852124905
6,0.2892572977002446,0.2623541978851916,0.2096843094604367,0.2177415760499731,0.1528292997030167,0.1160054939330287
7,0.2585164417377406,0.2556796568866102,0.2185285608398808,0.2210567049097533,0.1421485837471526,0.1213091542548612
8,0.2495019481605155,0.2628454273616888,0.2250585747477276,0.2370439132891709,0.1489076090808151,0.129538499687426
9,0.2581662071851569,0.2626218366144392,0.227018524291589,0.237593339557961,0.146853381196728,0.1375282076682402
