Ted per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,68.14091195845131,55.717537161177496,59.18816296509187,44.01169396019447,44.226316927067245,37.834874379866015
2,67.59869950159428,70.26379424497073,54.8296695682825,36.928891868935885,41.9345650256017,36.65221166008871
3,64.65050598782214,61.29951853690647,43.84364377294912,43.82930325023666,43.99909611833867,34.592885722068
4,68.93553284393747,67.02642945801337,51.96565990794664,49.31541257317384,40.79210105036924,32.023054165276385
5,72.44404890188022,64.7383617487099,48.56110730352088,47.12496335053855,43.2904862824774,29.78153747714808
6,70.62370094221946,65.23728311813291,51.14300305153999,61.37005645766528,39.78308809040769,28.209323808454496
7,61.65942281406242,63.07537321684592,53.05615564479302,61.34399408088357,36.76563782248551,30.669758342922897
8,59.766627024966645,65.79195307461995,55.441744336320994,67.15959993028488,39.01779696034688,32.706293315562846
9,62.47698940069241,65.81467896971354,56.47872482022878,66.73550473111122,38.63549651613151,35.34362471335512
