Tri gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.2398965419919695,0.2195239379867614,0.2124168633112055,0.2322358041605483,0.2308870674985904,0.2410684901094333
2,0.2380518547054967,0.2105505891874982,0.2092708450398347,0.2292860303979571,0.2305284499420301,0.2381878941572617
3,0.2336951688612935,0.2054365476619375,0.2261974957939873,0.2354576590464166,0.2269007957518884,0.238498461784606
4,0.2337024314261689,0.2050760002548966,0.2219910278210908,0.2310012979645538,0.2272608471402135,0.2363334593917803
5,0.2327766515927829,0.2034190727028757,0.2201637660735055,0.232048238645061,0.2242000961979882,0.2368902058126233
6,0.2328764720509117,0.2027721733394473,0.2194029561885798,0.2213752005553399,0.2271098607320142,0.2378412911662317
7,0.2378895546393268,0.20527034896899,0.2180641893888786,0.2241603617451357,0.2298207746216863,0.2361470773093638
8,0.2348723036503617,0.2037308110471644,0.2154113654199183,0.2206744067122537,0.2278444421938555,0.2340813804875652
9,0.2334939994942803,0.2024775739989301,0.2144941094225377,0.2194449208535613,0.2274265802630576,0.231690853987052
