Tri per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,61.43131600181922,56.64623336247936,51.44268558700722,60.442989420049614,54.70612726411898,57.14793901864928
2,59.38769510571774,56.74461293608352,51.021120923495744,52.471287556522014,59.11243024427652,60.13306198120531
3,58.170106387759226,50.5551121575776,54.6285822541894,69.25670306090248,58.99280904543316,61.755149200535485
4,57.89718330312165,50.4933832363466,53.26711254659481,66.74786561466021,58.045739490282415,58.90769658547436
5,58.22337083267498,50.451371123956754,53.32485051819433,66.1958236112093,58.39680899829324,57.92014373239785
6,56.858023805664594,50.42155142649353,53.51342733628143,62.39418673671283,59.11910617440065,57.83641593218436
7,56.73965080888651,50.63955431273617,52.943411736689285,62.20526950166992,59.441375644329895,59.70343985128795
8,56.26218742682894,50.99517269450125,53.0652158538541,62.521769338023255,59.70136945277642,59.1016130988996
9,56.50624181447152,50.742149636514,53.36284261136121,61.63795492368408,59.8334119229993,59.54265478823792
