Asp,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,24.08348897535668,24.97453722334004,24.245984177068348,28.6948465350196,25.583568185147207,28.994024640657084
2,23.943459514513663,25.148983957219247,24.3175046769768,27.215404062418276,26.30752659574468,29.846698065812607
3,25.25504732510288,24.7950509184056,28.50664364640884,30.69021334543804,26.292355543987505,30.36142384483742
4,24.424878921298845,23.857066768603463,26.65535028916929,31.90470110701107,28.299634266077565,29.31879918161788
5,24.188973806960888,23.722326389817365,26.2534429560028,30.811771501925545,27.13246612962285,29.372182926829268
6,23.107894736842105,23.921170842475888,26.171729979762937,29.21623621323529,26.61173929031072,29.03941775014132
7,25.310314304041047,23.672687619005927,25.947807300399845,27.55112110726644,27.93690302398332,29.47942586479116
8,24.232320230105465,23.57648832345765,26.676280129335684,28.60531749460043,28.37271770682148,30.58008679085521
9,23.2166351271437,23.5459228515625,26.814722717209357,26.97437523882308,27.511852059400397,32.41272997032641
