B2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0986747331462616,0.0379328588513041,0.0853128631713682,0.0563967357103115,0.0614258451456312,0.0435292971032508
2,0.1314627040911947,0.0704363733691619,0.0648918165314445,0.0552236056098782,0.0504576047356294,0.0466942674755702
3,0.1112200488130576,0.0697646522228429,0.0609589797281044,0.0617850729507223,0.0694772155193874,0.0598859671141674
4,0.1000306310711299,0.0689254808403397,0.0561466203718981,0.0571237440077059,0.027332192388278,0.0116695404232291
5,0.0824999540068728,0.0732790966468949,0.0400298200509578,0.1162142483797147,0.0562949565339449,0.0190440123852844
6,0.129424629199436,0.0715223866923774,0.0605084168853524,0.104152855965901,0.0074888785671468,0.0052453259821322
7,0.0628040155887964,0.0785356896285845,0.0548169405322029,0.0618679694421333,0.0066729828954833,0.0011543945535821
8,0.0804518373071953,0.0770715300332469,0.0471951294820829,0.0532780256045919,0.0014223735626548,0.0004417941738413
9,0.1125720726476779,0.0672589928876858,0.0421291431929203,0.0453271637895236,0.0018041093259794,0.0001859487050079
