B2c per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,3.58545233463035,1.4970674044265593,3.8182638856665583,2.476569780341691,2.626124212684928,1.8008493559828262
2,4.858090307248345,2.693561497326203,2.7284631454227988,2.3908778659227616,1.991532210401891,1.9161655362974128
3,4.162697530864198,3.0302355366737475,2.695075966850829,2.630231502496596,2.863465642894325,2.4641426126640043
4,3.7572151898734174,2.9080886850152905,2.3291272344900102,2.428154981549816,1.108213058419244,0.4451951526597418
5,3.0571546465733763,3.024927935395888,1.6618538505491711,5.301655969191272,2.3966514097400218,0.7348475609756097
6,4.730985237483954,2.9592253916415774,2.577677941601619,4.5379595588235295,0.3007648464791321,0.1966619559072922
7,2.3686401539448365,3.213995535225756,2.3206053570660816,2.6196159169550173,0.2781543274244004,0.0444811253050093
8,3.0584467881112176,3.1252923492506097,2.0165980795610423,2.2579956803455725,0.0561030478955007,0.0172332768839966
9,3.9489178001182728,2.688768601190476,1.7845909606350234,1.897791364157432,0.0723620061641916,0.0075692383778437
