B p1,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0775210817898754,0.0759600226859646,0.1204606820675413,0.0791313701567316,0.0899732052478018,0.0542558244865945
2,0.0525757680128417,0.0604099961962161,0.0840893730669795,0.0666347300141125,0.0578035791515573,0.038402089259531
3,0.0507719100606952,0.0920083607178147,0.0696575530128898,0.0455907251237563,0.0654775832661128,0.0368879968621378
4,0.0581657020277654,0.0941087614967145,0.074844125889613,0.0500429824058685,0.0594639796738975,0.0358420012702293
5,0.066835843038972,0.0933321272071305,0.0739291048444866,0.060875870247817,0.0699193289439275,0.0402874092419076
6,0.0721541789315127,0.0876705008859015,0.0760003465227772,0.0632922980817904,0.0654934407623189,0.0403153445718213
7,0.0690141519495387,0.080017075550377,0.0711137910964833,0.0587075960078648,0.0612330871014276,0.0372775746716182
8,0.0737062244588792,0.0787971194821772,0.0709045941728564,0.0608970557641344,0.0644246479230279,0.0378720317277371
9,0.0732346563590082,0.0776745188859742,0.0706940467954233,0.0592259382943727,0.0634361376413608,0.0369875496808847
