Bad rating rate,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0350194552529182,0.0352112676056338,0.0238736021530323,0.0251460690777309,0.0335432840193349,0.035654284114243
2,0.0371753522322186,0.0288770053475935,0.0221065103517086,0.0312091360822944,0.0289598108747044,0.0306455664405928
3,0.0440329218106995,0.0229289016618767,0.0326887661141804,0.0299591466182478,0.027980218636127,0.030690245293782
4,0.0275178866263071,0.02118374108053,0.0289826498422712,0.0265682656826568,0.0272459499263622,0.0286433742524394
5,0.0304987441693577,0.0216594914030537,0.0269824138149958,0.0282413350449293,0.0278286341999267,0.0320121951219512
6,0.0365853658536585,0.0223503597489411,0.0295461115929459,0.0298713235294117,0.0294171722743151,0.0296777840587902
7,0.0307889672867222,0.0232649755969446,0.0286340771314329,0.0252595155709342,0.0288494960027806,0.0294244294531362
8,0.0191754554170661,0.0208478563959567,0.0254752106603958,0.0228941684665226,0.0268505079825834,0.0239204064352243
9,0.0313424009461856,0.0196242559523809,0.0242453696203898,0.0309514711501719,0.0210142897170075,0.027942631058358
