Daily online hours,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,1574.9699283154114,428.04018817204144,1095.3609318996398,3129.196370967735,1150.5022222222185,4107.1173111111175
2,1616.6553352490407,279.09800766283473,1120.4709674329538,1623.2733429118737,1285.0189463601537,5727.454224137935
3,1364.5085752688174,921.36353046595,1642.3765412186383,911.162195340502,971.463673835126,5520.461227598548
4,890.1975000000016,990.3917870370371,1952.197120370372,766.4340000000021,1061.1120000000012,5342.989490740718
5,634.0520519713272,976.3100448028664,2186.6680107526868,669.0061917562726,862.628172043011,5159.644005376327
6,471.267000000001,1085.0570370370417,1853.564990740737,694.9149166666676,802.4213333333341,5208.569962962969
7,372.35154121863775,1192.4969086021508,1992.7616039426475,694.0414784946228,607.3473118279554,4654.288028673837
8,251.6620609319,1306.007365591398,1998.2675896057367,680.542885304661,695.5392562724015,4090.253378136216
9,254.2766388888884,1280.6983518518512,1942.828787037038,665.0912222222228,791.3580092592595,3796.4272685185288
