Daily orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,198.96774193548387,64.12903225806451,1390.3870967741937,436.1612903225807,273.08,214.28
2,203.1379310344828,32.241379310344826,1105.9310344827586,395.5517241379311,233.3793103448276,274.55172413793105
3,156.7741935483871,1032.645161290323,420.3870967741936,71.06451612903226,247.8709677419355,282.741935483871
4,121.13333333333334,1046.4,507.2,45.16666666666666,135.8,211.8
5,89.90322580645162,1206.354838709677,508.0967741935484,50.25806451612903,176.19354838709677,211.6129032258065
6,103.86666666666666,1306.4666666666667,576.5,72.53333333333333,181.3,235.86666666666667
7,100.58064516129032,1473.9032258064517,750.2903225806451,93.2258064516129,92.80645161290325,224.74193548387092
8,67.29032258064517,1480.774193548387,658.4516129032259,74.6774193548387,88.90322580645162,152.38709677419354
9,56.36666666666667,1433.6,617.3,87.23333333333333,118.96666666666668,134.8
