Exposure per eff online,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,177.50542386500604,235.96101159114852,1015.3443275518908,293.71713316369807,337.23560910307896,217.7978277308036
2,207.8055234239445,218.72617124394185,689.2069264069264,305.97927776931283,355.4814646349784,271.5989126075137
3,229.5303430079156,659.9874711506759,304.0167175461549,263.8272830402723,374.0881082637489,281.04285471826205
4,191.82453416149067,579.7128172181176,260.0126404494382,185.16802263883977,252.525711302532,215.06247178839035
5,181.5882800608828,652.4179149191133,235.92510769910527,186.70095602294447,302.19173057685896,187.5063862786242
6,244.75189283634245,695.4428611343951,291.3022739877981,217.01675107128943,315.41760168302943,203.7027167004096
7,311.2750677506775,764.0921501706484,350.2202714481385,252.59882121807465,291.87658802177856,262.59676195294713
8,256.7760910815939,694.9417562724014,302.805596285435,205.8955164131305,233.10827296988185,197.0473095184264
9,265.9729187562688,667.0522769516729,285.19417602507184,204.63748406289844,231.18036140470508,184.97560200775143
