Gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,224120.9,78458.89,1929073.81,593752.45,291873.07,221624.3
2,217696.8,35755.39,1348510.1,496631.1,267129.01,326731.97
3,181898.05,1390444.83,576161.71,93783.17,316691.88,360655.61
4,136495.39,1324484.34,631204.51,57596.89,165184.7,242406.29
5,103276.3,1543731.23,653909.01,71075.45,232534.33,253129.43
6,113902.2,1621644.43,736772.54,94808.73,218438.58,265299.05
7,117594.71,1869859.05,984640.14,122368.49,119923.88,268452.41
8,79301.11,1861432.1,872183.22,98112.87,108705.62,184271.33
9,59318.62,1719302.58,784465.04,109570.5,143150.97,164615.29
