Healthy stores,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,170.06451612903226,49.74193548387097,103.70967741935485,293.93548387096774,118.72,412.64
2,167.51724137931035,34.03448275862069,109.86206896551724,177.3793103448276,126.06896551724138,555.2758620689655
3,137.03225806451613,86.29032258064517,178.19354838709677,89.16129032258064,93.25806451612904,550.258064516129
4,97.9,91.83333333333331,215.66666666666663,72.6,103.6,528.1
5,69.0,95.12903225806453,232.9032258064516,66.7741935483871,81.61290322580645,519.3870967741935
6,47.23333333333333,105.33333333333331,199.96666666666667,69.96666666666667,78.23333333333333,518.7
7,39.45161290322581,115.16129032258064,217.32258064516128,65.64516129032258,60.80645161290322,460.8709677419355
8,27.548387096774192,126.03225806451611,221.4193548387097,65.16129032258064,68.41935483870968,405.2903225806452
9,25.4,125.6,215.03333333333333,63.3,80.83333333333333,375.1333333333333
