Imperfect order rate,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.0348573281452658,0.0357142857142857,0.0234559881212008,0.0252200281044301,0.0310531712318734,0.0298674631323501
2,0.0339500933627567,0.0352941176470588,0.0215452731354452,0.0293784325690872,0.0288120567375886,0.0310223561919115
3,0.0401234567901234,0.0225228039485193,0.0335328422344996,0.0308669995460735,0.0308433107756376,0.0288648031945236
4,0.0280682443588332,0.021374872579001,0.0269453207150368,0.0250922509225092,0.0292096219931271,0.0316336166194523
5,0.0308575529242913,0.0229697569323742,0.0246968446447844,0.021181001283697,0.0280117173196631,0.0282012195121951
6,0.0365853658536585,0.0221207327652191,0.0270020237062734,0.025735294117647,0.0305203162346019,0.0286885245901639
7,0.0275817831943553,0.0222144404806198,0.0276452126058729,0.0217993079584775,0.0239833159541188,0.0281326252332424
8,0.0258868648130393,0.0202814569536423,0.0248873211836174,0.0233261339092872,0.024310595065312,0.0237087214225232
9,0.0313424009461856,0.019833519345238,0.0227874075274042,0.0252197172334734,0.0215746707761277,0.0257171117705242
