P2c burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,3.87527075226978,4.630789738430584,3.840186302259756,4.243669846904815,4.39237879009814,4.329482919544521
2,4.002362926498048,4.302160427807487,3.2325077949613368,3.923924679626885,3.771465721040189,4.174802813363477
3,3.338489711934157,2.581257028614269,3.495309238796808,3.1270540172492054,3.001431546069756,3.439655447803765
4,3.0169757842597686,2.353297336901121,2.9248166403785487,3.0391365313653136,3.0293348060873835,3.174542020774316
5,3.5180731969860064,2.816332058721288,3.6284229572725537,3.3847946084724003,3.5404247528377883,3.8301631097560978
6,3.4957317073170726,2.7999622391182326,3.612636021971668,2.8825,3.551209781209781,4.176164499717354
7,3.327623476587556,2.879478671948524,3.6555174341115273,3.645262975778546,3.8603684393465416,4.566263815128464
8,2.9503691275167783,2.531984794353433,3.3699725651577506,3.3174341252699784,3.484996371552976,4.299502540220152
9,2.535476049674749,2.434152250744048,3.194032615152006,3.063840275124188,3.5433370692070607,4.155501978239367
