P2c gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.1066507853573673,0.1173354606469706,0.085802683724165,0.0966373444016946,0.1027390776408388,0.1046502572145743
2,0.1083062314191113,0.1125010802567109,0.0768796540715564,0.0906333493814624,0.0955541294447952,0.101734091096136
3,0.089198647264223,0.0594278882679581,0.079059175938644,0.0734556104256232,0.0728247279342937,0.0835938195998115
4,0.0803227859929921,0.0557762049493163,0.0705064829147054,0.0714974367539636,0.0747133965797074,0.0832117021385872
5,0.0949382384922775,0.0682258465419527,0.087399453327612,0.0741959424808425,0.083161054111881,0.0992609591069675
6,0.0956320422256988,0.067673108833112,0.0848030248250022,0.0661576207169951,0.0884231622454238,0.1113857739030727
7,0.0882312648247527,0.0703615922280345,0.0863500039720095,0.0860908719229925,0.0926110796281774,0.1185057716561382
8,0.0776088758404516,0.0624402200864592,0.0788686120331459,0.0782757654525853,0.0883546775226524,0.1102225180661582
9,0.0722789909812466,0.0608898173118544,0.0754020727297165,0.0731772694292715,0.0883414901065637,0.1020855960585435
