R burn,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,29556.2,16627.33,553928.88,114905.07,69298.73,33463.12
2,24448.95,5700.09,377418.83,112006.1,50075.7,40596.27
3,22702.75,417070.56,123990.03,13489.33,69595.55,42790.94
4,23117.97,410397.87,145672.69,6957.84,33035.62,33114.83
5,17536.47,438141.79,157063.88,9537.22,51908.49,30501.44
6,16263.55,458352.46,177070.99,15087.28,52746.44,28874.01
7,20916.2,509813.35,242121.45,24640.25,27642.88,30946.19
8,16218.1,519485.33,217716.31,18984.44,20751.14,19418.74
9,9094.18,486312.95,195684.06,25993.97,32056.74,16702.75
