R burn gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.1318761436349755,0.2119241044577612,0.287147581978732,0.1935235298818556,0.2374276256456273,0.1509903020562275
2,0.1123073467317847,0.1594190414368295,0.2798783857829466,0.2255317880817371,0.1874588611697396,0.1242494574375442
3,0.1248102989559261,0.2999547705894954,0.2152000520826002,0.1438352958212011,0.2197579236954228,0.11864764837569
4,0.1693681376345384,0.3098548299936864,0.2307852489837247,0.1208023558216424,0.1999920089451383,0.136608790143193
5,0.1698014936631153,0.2838199950129919,0.2401922554943844,0.1341844476538664,0.2232293614452541,0.1204974071959945
6,0.1427852139818194,0.2826467081936081,0.2403333191543756,0.1591338687903529,0.2414703483240002,0.108835708231899
7,0.177866844520472,0.2726480105545923,0.2458984152321882,0.2013610693406448,0.2305035494181809,0.1152762606973802
8,0.2045129002607908,0.2790783128753393,0.2496222181389823,0.1934959195465385,0.1908929823499465,0.1053812332064895
9,0.1533107142411607,0.2828547782438621,0.2494490512923303,0.2372351134657594,0.2239365894621601,0.101465362057194
