R burn per order,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,4.79186121919585,8.363848088531187,12.85158182914946,8.498267140004437,10.150685513402664,6.246615643083816
2,4.150220675606858,6.096352941176471,11.767860750810677,9.764283846220906,7.39889184397163,5.098752825923135
3,4.671347736625513,13.028569286517556,9.514274861878452,6.1231638674534725,9.057203279541904,4.882023958927553
4,6.361576774903687,13.073326643730883,9.573652076761306,5.134937269372694,8.108890525282279,5.211650928548946
5,6.292238966630785,11.715960905955024,9.97167671893848,6.121450577663671,9.503568290003662,4.64960975609756
6,5.219367779204108,11.694454763484206,10.23827638045678,6.933492647058824,9.697819452105168,4.080555398530243
7,6.70821039127646,11.157850561379702,10.409796207919516,8.526038062283737,9.608230795968025,4.441824314626095
8,7.774736337488014,11.316776969327291,10.666093964334705,8.200622030237582,7.5294412191582,4.110656223539372
9,5.377989355411,11.30749976748512,10.566664506722825,9.932735957202905,8.98199495657047,4.130254698318497
