Shop enter uv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,102749,34019,430161,274026,113328,171899
2,75561,16358,200814,133812,90350,234038
3,70668,184177,145677,42411,85069,244332
4,43113,169833,152414,26196,57527,170769
5,31895,203256,157900,29721,63366,165602
6,30322,218211,159667,35259,58916,174422
7,31708,250798,200016,37741,39391,193479
8,19948,244446,175713,31321,39392,132028
9,19420,223003,154397,28518,43013,107683
