Ted,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,75573.94,28809.51,884023.4,205769.43,117214.05,66303.31
2,76645.88,12241.09,568599.09,184443.2,89079.67,89092.56
3,59158.52,596705.66,204663.13,26172.63,114661.42,94537.73
4,47735.38,575563.3,225616.7,14366.02,49891.99,56114.64
5,35861.63,656587.39,240391.03,23070.71,84336.8,60447.91
6,41898.0,684078.06,284132.47,31234.2,73697.33,59816.13
7,38677.15,788230.28,381120.09,42745.75,39549.41,63069.25
8,28752.49,779176.98,327666.99,31891.56,30510.41,39811.0
9,20059.29,706639.53,287883.19,38978.56,44961.17,33538.21
