Ted gmv,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,0.3372016621386046,0.367192423956036,0.4582631288742653,0.3465576099938619,0.4015925484320975,0.2991698563740528
2,0.3520762822420908,0.3423564950627024,0.4216498563859477,0.3713887430730777,0.3334705953501643,0.2726778160092506
3,0.3252289950332067,0.4291473110802965,0.3552182077493487,0.2790759791975468,0.362059867149104,0.262127435089669
4,0.3497215546986605,0.4345565157833425,0.3574383522703283,0.249423536583312,0.3020375979131239,0.2314900327050094
5,0.3472396861622656,0.4253249382018397,0.3676215288729543,0.3245946385144237,0.36268537209108,0.2388023786882465
6,0.3678418854069543,0.4218422037190976,0.3856447608647303,0.3294443454732491,0.337382389136571,0.225466808117104
7,0.3289021249340212,0.4215452924112114,0.3870653597364007,0.3493199107057707,0.3297876119418417,0.2349364269071005
8,0.3625736134084377,0.4185900629950455,0.3756859596542111,0.3250497106037159,0.2806700334352538,0.2160455454464891
9,0.3381617778700853,0.4110035884434024,0.3669802672149672,0.3557395466845546,0.3140821888947032,0.2037369068207455
